"27 Mainz I1";"41,4";"10,8";"24,3";"-2,1";"12,3";"-16,4";"6,0";"1,3";
"28 Mainz II1";"38,0";"8,5";"30,7";"-2,3";"8,3";"-15,5";"6,7";"1,2";
"29 Bingen am Rhein";"39,1";"2,3";"31,8";"-2,9";"5,5";"-11,1";"6,4";"1,9";
"30 Ingelheim am Rhein";"39,4";"6,1";"31,9";"-1,9";"6,4";"-15,1";"6,6";"2,2";
"31 Rhein-Selz/Wonnegau";"38,3";"-1,4";"28,7";"-1,8";"5,3";"-11,0";"6,2";"2,2";
"32 Worms";"36,9";"-4,5";"26,1";"-5,7";"5,8";"-9,1";"5,8";"2,0";
"33 Alzey";"38,4";"-0,4";"29,6";"-2,9";"5,1";"-10,8";"6,0";"1,8";
"34 Frankenthal (Pfalz)";"33,3";"-3,5";"30,9";"-6,7";"4,4";"-8,4";"5,5";"2,5";
"35 Ludwigshafen am Rhein I";"36,3";"-3,3";"21,2";"-5,9";"6,7";"-9,5";"6,2";"2,8";
"36 Ludwigshafen am Rhein II";"36,1";"-5,6";"23,5";"-6,4";"4,6";"-8,8";"5,6";"2,4";
"37 Mutterstadt";"34,4";"-2,5";"28,6";"-5,6";"5,3";"-9,9";"6,8";"2,7";
"38 Speyer";"32,9";"0,3";"28,6";"-5,7";"7,3";"-12,0";"6,2";"2,6";
"39 Donnersberg1";"38,8";"-2,2";"26,2";"-2,9";"4,7";"-9,0";"5,5";"1,8";
"40 Kusel";"42,8";"-3,5";"22,7";"-2,5";"4,2";"-9,1";"4,4";"1,5";
"41 Bad Dürkheim1";"37,3";"2,5";"29,5";"-4,8";"5,1";"-10,0";"7,7";"2,6";
"42 Neustadt an der Weinstraße";"36,1";"-0,2";"26,8";"-6,5";"5,7";"-10,3";"6,0";"2,4";
"43 Kaiserslautern I";"38,0";"-1,8";"21,7";"-4,0";"6,5";"-10,4";"6,0";"1,7";
"44 Kaiserslautern II";"37,6";"-2,4";"26,9";"-2,9";"5,3";"-9,0";"6,2";"2,2";
"45 Kaiserslautern-Land";"37,4";"-3,5";"29,8";"-4,4";"3,8";"-7,1";"4,3";"1,1";
"46 Zweibrücken";"33,2";"-7,3";"29,3";"1,0";"4,1";"-7,3";"6,2";"-0,3";
"47 Pirmasens-Land";"33,8";"-6,3";"35,8";"-0,8";"3,1";"-6,9";"5,5";"1,8";
"48 Pirmasens1";"32,1";"-6,4";"33,9";"-1,9";"3,3";"-7,3";"5,8";"2,2";
"49 Südliche Weinstraße1";"38,6";"-2,6";"27,3";"-3,4";"5,5";"-9,9";"7,5";"3,2";
"50 Landau in der Pfalz1";"35,8";"0,1";"28,5";"-4,7";"7,5";"-10,4";"7,1";"3,1";
"51 Germersheim";"32,6";"-4,5";"30,0";"-5,9";"4,4";"-8,3";"6,2";"2,6";
"Rheinland-Pfalz";"36,2";"0,5";"31,8";"-3,4";"5,3";"-10,1";"6,2";"2,0";
