"24 Trier/Schweich1";"2,7";"-0,3";"2,0";"-1,4";"9,4";"x";"2,5";"-0,6";
"25 Trier";"5,4";"2,0";"1,3";"-0,3";"9,1";"x";"2,9";"-0,9";
"26 Konz/Saarburg";"2,8";"-0,8";"2,6";"0,2";"9,6";"x";"2,3";"-1,1";
"27 Mainz I1";"5,0";"1,3";"0,9";"0,1";"7,1";"x";"3,1";"-2,0";
"28 Mainz II1";"3,1";"0,6";"1,1";"0,2";"9,2";"x";"3,0";"-1,9";
"29 Bingen am Rhein";"2,4";"0,1";"1,4";"0,2";"11,0";"x";"2,4";"-1,4";
"30 Ingelheim am Rhein";"2,0";"0,0";"1,5";"0,4";"9,9";"x";"2,4";"-1,5";
"31 Rhein-Selz/Wonnegau";"2,2";"-0,1";"1,8";"-0,5";"14,7";"x";"2,9";"-2,1";
"32 Worms";"3,0";"0,2";"1,6";"0,7";"17,5";"x";"3,4";"-0,9";
"33 Alzey";"2,6";"0,0";"1,9";"0,5";"13,6";"x";"2,9";"-1,8";
"34 Frankenthal (Pfalz)";"2,8";"-0,4";"1,8";"-0,2";"17,6";"x";"3,7";"-0,9";
"35 Ludwigshafen am Rhein I";"4,4";"-0,8";"1,9";"0,7";"18,8";"x";"4,6";"-2,6";
"36 Ludwigshafen am Rhein II";"2,6";"-1,1";"2,7";"1,2";"20,7";"x";"4,2";"-2,4";
"37 Mutterstadt";"2,0";"-0,5";"2,8";"0,9";"16,6";"x";"3,4";"-1,7";
"38 Speyer";"3,0";"0,2";"3,2";"0,5";"15,5";"x";"3,4";"-1,4";
"39 Donnersberg1";"2,9";"-0,6";"3,3";"-0,1";"15,6";"x";"3,2";"-2,3";
"40 Kusel";"3,4";"-1,4";"3,9";"2,0";"15,3";"x";"3,4";"-2,2";
"41 Bad Dürkheim1";"1,8";"-0,4";"3,4";"-1,0";"12,7";"x";"2,4";"-1,6";
"42 Neustadt an der Weinstraße";"2,3";"-0,3";"4,8";"1,0";"15,3";"x";"3,0";"-1,3";
"43 Kaiserslautern I";"5,2";"-0,1";"2,3";"0,1";"15,7";"x";"4,5";"-1,3";
"44 Kaiserslautern II";"3,3";"-0,2";"3,3";"-0,5";"13,5";"x";"3,9";"-0,7";
"45 Kaiserslautern-Land";"3,3";"-0,4";"3,1";"0,8";"15,2";"x";"3,1";"-1,8";
"46 Zweibrücken";"4,0";"-0,8";"2,8";"-0,3";"16,1";"x";"4,1";"-1,2";
"47 Pirmasens-Land";"2,3";"-0,8";"2,8";"1,0";"13,6";"x";"3,0";"-1,6";
"48 Pirmasens1";"3,2";"-0,1";"1,9";"0,4";"15,4";"x";"4,4";"-2,3";
"49 Südliche Weinstraße1";"2,1";"-0,1";"2,1";"0,3";"13,9";"x";"2,8";"-1,5";
"50 Landau in der Pfalz1";"2,6";"0,0";"2,1";"0,2";"12,9";"x";"3,4";"-1,4";
"51 Germersheim";"2,3";"-0,2";"2,4";"-0,3";"18,5";"x";"3,5";"-2,1";
"Rheinland-Pfalz";"2,8";"-0,2";"2,3";"0,0";"12,6";"x";"2,8";"-1,3";
